"fecha_hecho","departamento","municipio","cantidad","unidad","LATITUD","LONGITUD"
2014-08-26,"VALLE DEL CAUCA","PALMIRA",0.002,"KILOGRAMO",3.558392876,-76.22779972
2014-08-26,"VALLE DEL CAUCA","PRADERA",0.006,"KILOGRAMO",3.42063665,-76.17841841
2014-08-26,"VALLE DEL CAUCA","EL CERRITO",0.005,"KILOGRAMO",3.656072873,-76.30841784
2014-08-26,"VALLE DEL CAUCA","EL CERRITO",0.025,"KILOGRAMO",3.656072873,-76.30841784
2014-08-26,"VALLE DEL CAUCA","EL CERRITO",0.01,"KILOGRAMO",3.656072873,-76.30841784
2014-08-26,"VALLE DEL CAUCA","DAGUA",0.005,"KILOGRAMO",3.649822218,-76.72039347
2014-08-26,"VALLE DEL CAUCA","ALCALA",0.0064,"KILOGRAMO",4.6788971,-75.78297932
2014-08-26,"VALLE DEL CAUCA","CARTAGO",0.001,"KILOGRAMO",4.70684716,-75.91790846
2014-08-26,"VALLE DEL CAUCA","CARTAGO",0.01,"KILOGRAMO",4.70684716,-75.91790846
2014-08-26,"VALLE DEL CAUCA","CARTAGO",0.001,"KILOGRAMO",4.70684716,-75.91790846
2014-08-26,"VALLE DEL CAUCA","CARTAGO",0.002,"KILOGRAMO",4.70684716,-75.91790846
2014-08-26,"VALLE DEL CAUCA","GUACARI",0.002,"KILOGRAMO",3.759414991,-76.34518277
2014-08-26,"VALLE DEL CAUCA","GUACARI",0.002,"KILOGRAMO",3.759414991,-76.34518277
2014-08-26,"VALLE DEL CAUCA","RESTREPO",0.002,"KILOGRAMO",3.806494973,-76.53489853
2014-08-26,"VALLE DEL CAUCA","RIOFRIO",0.003,"KILOGRAMO",4.109500298,-76.37105443
2014-08-26,"VALLE DEL CAUCA","SAN PEDRO",0.002,"KILOGRAMO",3.98143244,-76.20836168
2014-08-26,"VALLE DEL CAUCA","TULUA",0.005,"KILOGRAMO",4.02840797,-76.03250379
2014-08-26,"VALLE DEL CAUCA","CALI",0.02,"KILOGRAMO",3.399043723,-76.57649259
2014-08-26,"VALLE DEL CAUCA","CALI",0.002,"KILOGRAMO",3.399043723,-76.57649259
2014-08-26,"ANTIOQUIA","FRONTINO",0.001,"KILOGRAMO",6.691364773,-76.33199656
2014-08-26,"ANTIOQUIA","GUATAPE",0.002,"KILOGRAMO",6.236329826,-75.15651272
2014-08-26,"VALLE DEL CAUCA","CALI",0.005,"KILOGRAMO",3.399043723,-76.57649259
2014-08-26,"BOGOTA D.C.","BOGOTA D.C.",0.299,"KILOGRAMO",4.316107698,-74.1810727
2014-08-26,"BOGOTA D.C.","BOGOTA D.C.",0.201,"KILOGRAMO",4.316107698,-74.1810727
2014-08-26,"BOGOTA D.C.","BOGOTA D.C.",0.102,"KILOGRAMO",4.316107698,-74.1810727
2014-08-26,"ATLANTICO","MALAMBO",0.007,"KILOGRAMO",10.84828864,-74.80617555
2014-08-26,"ATLANTICO","MALAMBO",0.013,"KILOGRAMO",10.84828864,-74.80617555
2014-08-26,"ATLANTICO","MALAMBO",0.04,"KILOGRAMO",10.84828864,-74.80617555
2014-08-26,"ANTIOQUIA","RIONEGRO",0.5,"KILOGRAMO",6.150785807,-75.41076052
2014-08-26,"VALLE DEL CAUCA","CALI",0.01,"KILOGRAMO",3.399043723,-76.57649259
2014-08-26,"VALLE DEL CAUCA","CALI",0.01,"KILOGRAMO",3.399043723,-76.57649259
2014-08-26,"ANTIOQUIA","SAN ROQUE",0.008,"KILOGRAMO",6.466165211,-74.9450732
2014-08-26,"ANTIOQUIA","SANTAFE DE ANTIOQUIA",0.007,"KILOGRAMO",6.535711576,-75.90426658
2014-08-26,"ANTIOQUIA","SAN RAFAEL",0.004,"KILOGRAMO",6.31074453,-74.99858652
2014-08-26,"ANTIOQUIA","SANTAFE DE ANTIOQUIA",0.007,"KILOGRAMO",6.535711576,-75.90426658
2014-08-26,"ANTIOQUIA","SANTO DOMINGO",0.003,"KILOGRAMO",6.481044132,-75.14260097
2014-08-26,"ANTIOQUIA","TARAZA",106.9,"KILOGRAMO",7.488875998,-75.40189438
2014-08-26,"CORDOBA","TIERRALTA",0.6,"KILOGRAMO",7.813896829,-76.16846678
2014-08-26,"BOGOTA D.C.","BOGOTA D.C.",0.025,"KILOGRAMO",4.316107698,-74.1810727
2014-08-26,"CAUCA","VILLA RICA",0.04,"KILOGRAMO",3.180627317,-76.46445558
2014-08-26,"ATLANTICO","SOLEDAD",0.08,"KILOGRAMO",10.9069066,-74.7784249
2014-08-26,"CALDAS","MARMATO",0.015,"KILOGRAMO",5.492632029,-75.60209955
2014-08-26,"ANTIOQUIA","CIUDAD BOLIVAR",0.004,"KILOGRAMO",5.840995666,-76.01065253
2014-08-26,"BOYACA","DUITAMA",0.002,"KILOGRAMO",5.890602515,-73.06709484
2014-08-26,"NARIÑO","TUQUERRES",0.082,"KILOGRAMO",1.134440523,-77.63073238
2014-08-26,"NARIÑO","SAN ANDRES DE TUMACO",1.928,"KILOGRAMO",1.574550638,-78.61540963
2014-08-27,"ATLANTICO","SABANALARGA",0.01,"KILOGRAMO",10.62250777,-74.95510542
2014-08-27,"RISARALDA","PEREIRA",0.003,"KILOGRAMO",4.803662773,-75.79579093
2014-08-27,"RISARALDA","DOSQUEBRADAS",0.03,"KILOGRAMO",4.842021144,-75.66993655
2014-08-27,"BOGOTA D.C.","BOGOTA D.C.",1.89,"KILOGRAMO",4.316107698,-74.1810727
2014-08-27,"ANTIOQUIA","ANDES",0.008,"KILOGRAMO",5.604993248,-75.94128391
2014-08-27,"ANTIOQUIA","ANDES",0.008,"KILOGRAMO",5.604993248,-75.94128391
2014-08-27,"ANTIOQUIA","ANDES",0.003,"KILOGRAMO",5.604993248,-75.94128391
2014-08-27,"ANTIOQUIA","BETANIA",0.009,"KILOGRAMO",5.727081285,-75.98689107
2014-08-27,"CUNDINAMARCA","CABRERA",0.001,"KILOGRAMO",3.91861924,-74.44615606
2014-08-27,"QUINDIO","ARMENIA",0.005,"KILOGRAMO",4.499501128,-75.72489985
2014-08-27,"CESAR","VALLEDUPAR",0.004,"KILOGRAMO",10.21890277,-73.45784764
2014-08-27,"ANTIOQUIA","CAMPAMENTO",0.001,"KILOGRAMO",7.036017478,-75.28766178
2014-08-27,"VALLE DEL CAUCA","CANDELARIA",0.01,"KILOGRAMO",3.382091564,-76.38317663
2014-08-27,"ANTIOQUIA","CISNEROS",0.012,"KILOGRAMO",6.550065431,-75.08254116
2014-08-27,"ANTIOQUIA","CISNEROS",0.013,"KILOGRAMO",6.550065431,-75.08254116
2014-08-27,"ANTIOQUIA","CIUDAD BOLIVAR",0.002,"KILOGRAMO",5.840995666,-76.01065253
2014-08-27,"CHOCO","SAN JOSE DEL PALMAR",0.011,"KILOGRAMO",4.958741345,-76.28002361
2014-08-27,"QUINDIO","QUIMBAYA",0.001,"KILOGRAMO",4.610273497,-75.79205087
2014-08-27,"CAUCA","POPAYAN",0.202,"KILOGRAMO",2.471704362,-76.59194419
2014-08-27,"CORDOBA","MONTERIA",0.005,"KILOGRAMO",8.584698016,-75.95055079
