"fecha_hecho","departamento","municipio","cantidad","unidad","LATITUD","LONGITUD"
2010-01-27,"QUINDIO","ARMENIA",0.001,"KILOGRAMO",4.499501128,-75.72489985
2010-01-28,"RISARALDA","DOSQUEBRADAS",0.001,"KILOGRAMO",4.842021144,-75.66993655
2010-01-28,"QUINDIO","ARMENIA",0.006,"KILOGRAMO",4.499501128,-75.72489985
2010-01-28,"QUINDIO","ARMENIA",0.001,"KILOGRAMO",4.499501128,-75.72489985
2010-01-28,"QUINDIO","QUIMBAYA",0.009,"KILOGRAMO",4.610273497,-75.79205087
2010-01-28,"QUINDIO","ARMENIA",0.002,"KILOGRAMO",4.499501128,-75.72489985
2010-01-29,"RISARALDA","PEREIRA",0.001,"KILOGRAMO",4.803662773,-75.79579093
2010-01-29,"RISARALDA","DOSQUEBRADAS",0.001,"KILOGRAMO",4.842021144,-75.66993655
2010-01-29,"RISARALDA","DOSQUEBRADAS",0.001,"KILOGRAMO",4.842021144,-75.66993655
2010-01-29,"QUINDIO","ARMENIA",0.001,"KILOGRAMO",4.499501128,-75.72489985
2010-01-29,"ATLANTICO","BARRANQUILLA",0.002,"KILOGRAMO",10.98152051,-74.82771544
2010-01-29,"RISARALDA","PEREIRA",0.001,"KILOGRAMO",4.803662773,-75.79579093
2010-01-29,"TOLIMA","MELGAR",0.535,"KILOGRAMO",4.193215498,-74.60517497
2010-01-29,"BOGOTA D.C.","BOGOTA D.C.",1,"KILOGRAMO",4.316107698,-74.1810727
2010-01-29,"RISARALDA","PEREIRA",0.001,"KILOGRAMO",4.803662773,-75.79579093
2010-01-29,"RISARALDA","PEREIRA",0.001,"KILOGRAMO",4.803662773,-75.79579093
2010-01-29,"RISARALDA","PEREIRA",0.002,"KILOGRAMO",4.803662773,-75.79579093
2010-01-29,"RISARALDA","PEREIRA",0.002,"KILOGRAMO",4.803662773,-75.79579093
2010-01-29,"RISARALDA","PEREIRA",0.003,"KILOGRAMO",4.803662773,-75.79579093
